wl,n,k
0.12399,9.9999E-01,8.2410E-08
0.13051,9.9999E-01,1.2720E-07
0.13776,9.9999E-01,1.2488E-07
0.15498,9.9999E-01,1.9173E-07
0.17712,9.9999E-01,3.1463E-07
0.20664,9.9998E-01,5.5102E-07
0.24797,9.9998E-01,1.0726E-06
0.30996,9.9997E-01,2.4843E-06
0.35424,9.9995E-01,4.0484E-06
0.41328,9.9994E-01,7.1408E-06
0.49594,9.9991E-01,1.3642E-05
0.61993,9.9987E-01,3.2079E-05
0.65255,9.9986E-01,3.8497E-05
0.68881,9.9985E-01,4.7138E-05
0.72932,9.9984E-01,5.7974E-05
0.74021,9.9984E-01,6.1633E-05
0.77734,9.9986E-01,7.4862E-05
0.78472,9.9987E-01,7.8480E-05
0.79274,9.9990E-01,8.5418E-05
0.79376,9.9992E-01,7.1847E-05
0.79478,9.9993E-01,4.9998E-05
0.79529,9.9992E-01,4.1131E-05
0.7958,9.9992E-01,3.2911E-05
0.79785,9.9991E-01,2.3687E-05
0.79887,9.9991E-01,1.1026E-05
0.7999,9.9989E-01,6.0484E-06
0.8051,9.9987E-01,6.1901E-06
0.81569,9.9985E-01,6.4818E-06
0.82657,9.9983E-01,6.8049E-06
0.85507,9.9981E-01,7.8422E-06
0.88561,9.9979E-01,8.9400E-06
0.95373,9.9974E-01,1.1636E-05
1.0332,9.9968E-01,1.5628E-05
1.1271,9.9961E-01,2.1586E-05
1.2399,9.9953E-01,3.1115E-05
1.3776,9.9940E-01,4.6771E-05
1.5498,9.9924E-01,7.2992E-05
1.7712,9.9898E-01,1.1811E-04
2.0664,9.9860E-01,2.2001E-04
2.4797,9.9797E-01,4.3503E-04
3.0996,9.9694E-01,9.6887E-04
4.1328,9.9480E-01,2.3492E-03
4.9594,9.9313E-01,4.1863E-03
6.1993,9.9111E-01,7.5099E-03
6.5255,9.9054E-01,8.4716E-03
6.8881,9.9007E-01,9.6517E-03
7.2932,9.8909E-01,1.0987E-02
7.7491,9.8912E-01,1.3728E-02
8.2657,9.8966E-01,1.4773E-02
8.5507,9.8934E-01,1.5437E-02
8.8561,9.8883E-01,1.6304E-02
9.1841,9.8793E-01,1.7765E-02
9.5373,9.8761E-01,2.0606E-02
9.9188,9.8941E-01,2.3421E-02
10.332,9.9139E-01,2.4063E-02
10.781,9.9233E-01,2.4928E-02
11.271,9.9415E-01,2.5452E-02
11.808,9.9285E-01,2.4415E-02
12.399,9.9123E-01,2.9920E-02
12.652,9.9265E-01,3.3061E-02
12.915,9.9652E-01,3.5883E-02
13.19,1.0012E+00,3.5311E-02
13.477,1.0041E+00,3.3392E-02
13.776,1.0058E+00,3.0918E-02
14.089,1.0060E+00,2.8956E-02
14.417,1.0065E+00,2.8232E-02
14.76,1.0074E+00,2.6826E-02
15.12,1.0077E+00,2.5460E-02
15.498,1.0075E+00,2.4476E-02
15.694,1.0075E+00,2.4501E-02
15.896,1.0078E+00,2.4757E-02
16.102,1.0095E+00,2.5180E-02
16.314,1.0106E+00,2.3853E-02
16.422,1.0110E+00,2.3955E-02
16.531,1.0118E+00,2.4020E-02
16.642,1.0132E+00,2.4343E-02
16.755,1.0151E+00,2.4184E-02
16.777,1.0156E+00,2.4228E-02
16.8,1.0161E+00,2.4282E-02
16.823,1.0167E+00,2.4375E-02
16.846,1.0173E+00,2.4499E-02
16.869,1.0181E+00,2.4831E-02
16.892,1.0194E+00,2.5432E-02
16.915,1.0219E+00,2.6018E-02
16.938,1.0259E+00,2.4227E-02
16.961,1.0262E+00,1.9564E-02
16.984,1.0246E+00,1.9145E-02
17.008,1.0255E+00,2.0012E-02
17.031,1.0305E+00,2.0072E-02
17.054,1.0349E+00,1.2476E-02
17.078,1.0305E+00,4.1164E-03
17.101,1.0249E+00,3.6218E-03
17.125,1.0226E+00,3.4141E-03
17.149,1.0206E+00,3.4400E-03
17.172,1.0192E+00,3.4767E-03
17.196,1.0179E+00,3.4877E-03
17.208,1.0174E+00,3.5108E-03
17.22,1.0169E+00,3.5249E-03
17.463,1.0108E+00,3.4957E-03
17.712,1.0070E+00,3.5425E-03
18.233,1.0019E+00,3.6730E-03
18.786,9.9791E-01,3.8926E-03
19.373,9.9457E-01,4.1092E-03
19.998,9.9143E-01,4.2397E-03
20.664,9.8827E-01,4.3696E-03
22.543,9.7998E-01,5.0004E-03
24.797,9.7048E-01,5.7469E-03
27.552,9.5834E-01,6.6191E-03
30.996,9.4189E-01,7.8466E-03
35.424,9.1802E-01,9.3121E-03
41.328,8.8013E-01,1.1651E-02
49.594,8.1512E-01,1.5894E-02
61.993,6.7912E-01,2.2340E-02
65.255,6.3242E-01,2.4770E-02
68.881,5.7251E-01,2.7681E-02
72.932,4.9131E-01,3.2409E-02
77.491,3.7197E-01,4.4202E-02
78.472,3.4031E-01,4.8320E-02
79.478,3.0373E-01,5.3349E-02
79.99,2.8271E-01,5.6697E-02
80.51,2.5936E-01,6.1407E-02
81.036,2.3344E-01,6.8348E-02
81.569,2.0569E-01,7.9959E-02
82.109,1.7943E-01,9.4223E-02
82.657,1.5065E-01,1.1041E-01
83.774,9.4517E-02,1.6589E-01
84.921,6.7041E-02,2.3420E-01
86.101,5.4863E-02,2.9293E-01
88.561,4.4168E-02,3.9115E-01
95.373,3.6437E-02,5.9086E-01
103.32,3.5753E-02,7.7163E-01
112.71,3.8468E-02,9.5677E-01
123.99,4.6304E-02,1.1555E+00
137.76,5.7167E-02,1.3775E+00
154.98,7.2505E-02,1.6366E+00
177.12,9.4236E-02,1.9519E+00
206.64,1.2677E-01,2.3563E+00
247.97,1.8137E-01,2.9029E+00
309.96,2.8003E-01,3.7081E+00
326.28,3.1474E-01,3.9165E+00
364.66,3.9877E-01,4.3957E+00
413.28,5.2135E-01,5.0008E+00
442.8,6.0790E-01,5.3676E+00
476.87,7.2780E-01,5.7781E+00
516.6,8.7340E-01,6.2418E+00
563.57,1.0728E+00,6.7839E+00
619.93,1.3660E+00,7.4052E+00
652.25,1.5724E+00,7.7354E+00
688.81,1.8301E+00,8.0601E+00
729.32,2.1606E+00,8.3565E+00
774.91,2.6154E+00,8.4914E+00
794.78,2.7675E+00,8.3866E+00
815.69,2.7668E+00,8.2573E+00
837.74,2.6945E+00,8.1878E+00
885.61,2.2802E+00,8.1134E+00
911.66,1.9739E+00,8.3058E+00
939.28,1.6784E+00,8.5970E+00
968.63,1.4867E+00,9.0655E+00
999.88,1.4359E+00,9.4939E+00
1033.2,1.3998E+00,9.8914E+00
1127.1,1.3281E+00,1.0969E+01
1239.9,1.3157E+00,1.2245E+01
1377.6,1.3899E+00,1.3784E+01
1549.8,1.5782E+00,1.5656E+01
1771.2,1.9205E+00,1.7991E+01
2066.4,2.4738E+00,2.0982E+01
2479.7,3.3372E+00,2.5004E+01
2755.2,3.9380E+00,2.7580E+01
3099.6,4.7097E+00,3.0737E+01
3262.8,5.0735E+00,3.2183E+01
3444,5.4903E+00,3.3814E+01
3646.6,5.9564E+00,3.5608E+01
3874.5,6.4808E+00,3.7595E+01
4132.8,7.0796E+00,3.9826E+01
4428,7.7757E+00,4.2367E+01
4768.7,8.5881E+00,4.5257E+01
5166,9.5580E+00,4.8593E+01
5635.7,1.0742E+01,5.2518E+01
6199.3,1.2195E+01,5.7156E+01
6888.1,1.4088E+01,6.2841E+01
7749.1,1.6755E+01,6.9857E+01
8856.1,2.0837E+01,7.8274E+01
10332,2.6216E+01,8.8197E+01
12399,3.3519E+01,1.0128E+02
13776,3.8461E+01,1.0896E+02
15498,4.3775E+01,1.1839E+02
17712,5.0951E+01,1.2949E+02
19075,5.4413E+01,1.3609E+02
20664,5.8580E+01,1.4423E+02
22543,6.3554E+01,1.5345E+02
24797,6.8535E+01,1.6481E+02
27552,7.5748E+01,1.8178E+02
30996,9.1955E+01,1.9999E+02
33333,1.0210E+02,2.0810E+02
40000,1.2514E+02,2.3019E+02
44444,1.4005E+02,2.4343E+02
50000,1.5730E+02,2.5826E+02
57144,1.7793E+02,2.7534E+02
66666,2.0263E+02,2.9542E+02
80001,2.3356E+02,3.2108E+02
99996,2.7438E+02,3.5435E+02
125000,3.1881E+02,3.9171E+02
137760,3.3962E+02,4.0892E+02
153850,3.6404E+02,4.2962E+02
177120,3.9793E+02,4.5850E+02
200000,4.2396E+02,4.8370E+02
