wl,n,k
300,1.60E+00,1.89E+00
310,1.65E+00,1.90E+00
320,1.69E+00,1.88E+00
330,1.70E+00,1.86E+00
340,1.70E+00,1.84E+00
350,1.67E+00,1.82E+00
360,1.64E+00,1.83E+00
370,1.61E+00,1.85E+00
380,1.59E+00,1.88E+00
390,1.59E+00,1.90E+00
400,1.59E+00,1.92E+00
410,1.59E+00,1.91E+00
420,1.57E+00,1.90E+00
430,1.54E+00,1.89E+00
440,1.51E+00,1.88E+00
450,1.47E+00,1.86E+00
460,1.42E+00,1.81E+00
470,1.33E+00,1.76E+00
480,1.19E+00,1.72E+00
490,1.01E+00,1.72E+00
500,8.20E-01,1.79E+00
510,6.53E-01,1.91E+00
520,5.26E-01,2.06E+00
530,4.36E-01,2.21E+00
540,3.72E-01,2.36E+00
550,3.26E-01,2.51E+00
560,2.90E-01,2.64E+00
570,2.62E-01,2.77E+00
580,2.39E-01,2.89E+00
590,2.20E-01,3.01E+00
600,2.04E-01,3.12E+00
610,1.91E-01,3.23E+00
620,1.79E-01,3.34E+00
630,1.70E-01,3.44E+00
640,1.62E-01,3.55E+00
650,1.55E-01,3.65E+00
660,1.49E-01,3.75E+00
670,1.44E-01,3.84E+00
680,1.39E-01,3.94E+00
690,1.36E-01,4.03E+00
700,1.33E-01,4.13E+00
710,1.30E-01,4.22E+00
720,1.28E-01,4.31E+00
730,1.27E-01,4.40E+00
740,1.26E-01,4.49E+00
750,1.25E-01,4.58E+00
760,1.24E-01,4.66E+00
770,1.24E-01,4.75E+00
780,1.24E-01,4.83E+00
790,1.24E-01,4.92E+00
800,1.24E-01,5.00E+00
810,1.25E-01,5.09E+00
820,1.26E-01,5.17E+00
830,1.27E-01,5.26E+00
840,1.28E-01,5.34E+00
850,1.29E-01,5.42E+00
860,1.30E-01,5.50E+00
870,1.31E-01,5.58E+00
880,1.33E-01,5.66E+00
890,1.34E-01,5.75E+00
900,1.36E-01,5.83E+00
910,1.38E-01,5.91E+00
920,1.39E-01,5.99E+00
930,1.41E-01,6.06E+00
940,1.43E-01,6.14E+00
950,1.45E-01,6.22E+00
960,1.47E-01,6.30E+00
970,1.49E-01,6.38E+00
980,1.51E-01,6.46E+00
990,1.54E-01,6.54E+00
1000,1.56E-01,6.61E+00
1010,1.58E-01,6.69E+00
1020,1.61E-01,6.77E+00
1030,1.63E-01,6.85E+00
1040,1.66E-01,6.92E+00
1050,1.68E-01,7.00E+00
1060,1.71E-01,7.08E+00
1070,1.73E-01,7.15E+00
1080,1.76E-01,7.23E+00
1090,1.78E-01,7.30E+00
1100,1.81E-01,7.38E+00
1110,1.84E-01,7.46E+00
1120,1.87E-01,7.53E+00
1130,1.89E-01,7.61E+00
1140,1.92E-01,7.68E+00
1150,1.95E-01,7.76E+00
1160,1.98E-01,7.83E+00
1170,2.01E-01,7.91E+00
1180,2.04E-01,7.98E+00
1190,2.07E-01,8.06E+00
1200,2.10E-01,8.13E+00
1210,2.13E-01,8.21E+00
1220,2.16E-01,8.28E+00
1230,2.19E-01,8.36E+00
1240,2.22E-01,8.43E+00
1250,2.25E-01,8.51E+00
1260,2.28E-01,8.58E+00
1270,2.31E-01,8.66E+00
1280,2.34E-01,8.73E+00
1290,2.37E-01,8.80E+00
1300,2.40E-01,8.87E+00
1310,2.43E-01,8.94E+00
1320,2.46E-01,9.01E+00
1330,2.49E-01,9.08E+00
1340,2.52E-01,9.15E+00
1350,2.55E-01,9.21E+00
1430,2.82E-01,9.80E+00
1440,2.86E-01,9.87E+00
1450,2.89E-01,9.93E+00
1460,2.92E-01,1.00E+01
1470,2.96E-01,1.01E+01
1480,2.99E-01,1.01E+01
1490,3.02E-01,1.02E+01
1500,3.06E-01,1.03E+01
1510,3.09E-01,1.04E+01
1520,3.12E-01,1.04E+01
1530,3.16E-01,1.05E+01
1540,3.19E-01,1.06E+01
1550,3.23E-01,1.06E+01
1560,3.26E-01,1.07E+01
1570,3.30E-01,1.08E+01
1580,3.33E-01,1.08E+01
1590,3.37E-01,1.09E+01
1600,3.40E-01,1.10E+01
1610,3.44E-01,1.10E+01
1620,3.47E-01,1.11E+01
1630,3.51E-01,1.12E+01
1640,3.55E-01,1.12E+01
1650,3.58E-01,1.13E+01
1660,3.62E-01,1.14E+01
1670,3.66E-01,1.14E+01
1680,3.70E-01,1.15E+01
1690,3.73E-01,1.16E+01
1700,3.77E-01,1.16E+01
1710,3.81E-01,1.17E+01
1720,3.85E-01,1.18E+01
1730,3.89E-01,1.18E+01
1740,3.92E-01,1.19E+01
1750,3.96E-01,1.20E+01
1760,4.00E-01,1.20E+01
1770,4.04E-01,1.21E+01
1780,4.08E-01,1.22E+01
1790,4.12E-01,1.23E+01
1800,4.16E-01,1.23E+01
1810,4.20E-01,1.24E+01
1820,4.25E-01,1.25E+01
1830,4.29E-01,1.25E+01
1840,4.33E-01,1.26E+01
1850,4.37E-01,1.27E+01
1860,4.41E-01,1.27E+01
1870,4.45E-01,1.28E+01
1880,4.50E-01,1.29E+01
1890,4.54E-01,1.29E+01
1900,4.58E-01,1.30E+01
1910,4.63E-01,1.31E+01
1920,4.67E-01,1.31E+01
1930,4.72E-01,1.32E+01
1940,4.76E-01,1.33E+01
1950,4.81E-01,1.33E+01
1960,4.85E-01,1.34E+01
1970,4.90E-01,1.35E+01
1980,4.94E-01,1.35E+01
1990,4.99E-01,1.36E+01
2000,5.03E-01,1.37E+01
2007,5.07E-01,1.37E+01
2019,5.13E-01,1.38E+01
2025,5.16E-01,1.38E+01
2038,5.22E-01,1.39E+01
2045,5.26E-01,1.40E+01
2058,5.32E-01,1.41E+01
2064,5.35E-01,1.41E+01
2077,5.42E-01,1.42E+01
2084,5.46E-01,1.43E+01
2098,5.52E-01,1.44E+01
2104,5.56E-01,1.44E+01
2118,5.63E-01,1.45E+01
2125,5.67E-01,1.45E+01
2139,5.74E-01,1.46E+01
2146,5.78E-01,1.47E+01
2153,5.81E-01,1.47E+01
2168,5.89E-01,1.48E+01
2175,5.93E-01,1.49E+01
2190,6.01E-01,1.50E+01
2197,6.05E-01,1.51E+01
2205,6.09E-01,1.51E+01
2220,6.17E-01,1.52E+01
