wl,n,k
293.8,0.94,2.58
300.2,0.98,2.67
307.7,1.02,2.76
316.3,1.06,2.85
323.7,1.12,2.95
333.3,1.18,3.04
341.6,1.26,3.12
351.2,1.33,3.18
362.5,1.39,3.24
372.3,1.43,3.31
385,1.44,3.4
396.1,1.48,3.54
409.2,1.54,3.71
424.6,1.65,3.89
438.1,1.8,4.06
455.8,1.99,4.22
471.4,2.22,4.36
490.1,2.49,4.44
512.3,2.75,4.46
532.1,2.98,4.45
558.5,3.18,4.41
582.1,3.34,4.38
610.8,3.48,4.36
700.5,3.84,4.37
815.7,4.23,4.34
826.6,4.27,4.33
849.2,4.31,4.32
861,4.33,4.32
885.6,4.38,4.31
911.6,4.42,4.3
939.3,4.47,4.29
968.6,4.49,4.28
999.9,4.5,4.28
1033,4.52,4.29
1069,4.53,4.3
1107,4.53,4.31
1148,4.53,4.34
1192,4.51,4.36
1240,4.47,4.43
1292,4.47,4.5
1348,4.45,4.56
1378,4.43,4.6
1442,4.35,4.66
1512,4.24,4.81
1590,4.13,5.03
1675,4.06,5.3
1771,4.01,5.59
1879,3.96,5.95
2000,4.01,6.31
2138,4.01,6.65
2296,3.92,7.06
2480,3.83,7.58
2695,3.72,8.2
2952,3.47,8.97
