wl,n,k
191.633224,0.800646,1.94923
193.222458,0.79995,1.950502
194.811752,0.810985,1.961664
196.401108,0.836484,1.985987
197.99054,0.857027,2.009882
199.580017,0.861621,2.024498
201.169571,0.865798,2.038459
202.759186,0.880586,2.059297
204.348846,0.89574,2.085477
205.938599,0.902023,2.113596
207.528397,0.904056,2.138752
209.11824,0.908357,2.15733
210.70816,0.917036,2.173893
212.298141,0.930351,2.195239
213.888184,0.946264,2.221411
215.478271,0.961301,2.247807
217.068436,0.97465,2.271184
218.658646,0.989694,2.290382
220.248932,1.009034,2.305368
221.839264,1.029998,2.320759
223.429642,1.048363,2.342171
225.020096,1.063561,2.369523
226.610596,1.079529,2.395926
228.201141,1.099405,2.415692
229.791779,1.120872,2.430081
231.382416,1.139508,2.442998
232.973175,1.153324,2.457162
234.563934,1.166296,2.472957
236.154785,1.182966,2.490393
237.745651,1.204611,2.509054
239.336594,1.228096,2.527864
240.927612,1.250336,2.545774
242.518646,1.270564,2.56239
244.109741,1.290372,2.578034
245.700897,1.311274,2.593056
247.292114,1.333479,2.607724
248.883377,1.355835,2.622198
250.474686,1.377236,2.636597
252.06604,1.397395,2.651047
253.65744,1.417203,2.665713
255.248901,1.437568,2.680764
256.840393,1.459074,2.696238
258.431946,1.48148,2.711765
260.02356,1.504405,2.72692
261.615204,1.527529,2.741346
263.206909,1.55076,2.755064
264.798645,1.574133,2.768316
266.390442,1.59768,2.781327
267.9823,1.621357,2.794131
269.574188,1.644937,2.806283
271.166107,1.668187,2.817298
272.758118,1.690916,2.826751
274.350128,1.713178,2.834873
275.9422,1.735288,2.842625
277.534302,1.757532,2.850933
279.126465,1.780148,2.860588
280.718658,1.803245,2.871292
282.310913,1.826844,2.881922
283.903198,1.850981,2.891427
285.495514,1.875682,2.898893
287.087891,1.900587,2.904265
288.680298,1.92499,2.908218
290.272766,1.948216,2.911383
291.865234,1.969641,2.914327
293.457764,1.989107,2.917543
295.050354,2.007195,2.921453
296.642975,2.02451,2.926451
298.235626,2.041608,2.932905
299.828308,2.058957,2.941035
301.421051,2.076754,2.95027
303.013794,2.095093,2.959797
304.606628,2.114071,2.968866
306.199463,2.13378,2.976791
307.792328,2.154221,2.983273
309.385254,2.175201,2.988765
310.97821,2.196504,2.99378
