wl,n,k
200,2.3945,0
218,2.263947898,0
236,2.174728423,0
254,2.111685752,0
272,2.065845762,0
290,2.031677191,0
308,2.005650361,0
326,1.98544345,0
344,1.969487713,0
362,1.956697707,0
380,1.946306236,0
398,1.93776056,0
416,1.930655489,0
434,1.924689287,0
452,1.91963401,0
470,1.915315176,0
488,1.91159761,0
506,1.90837541,0
524,1.905564754,0
542,1.903098657,0
560,1.900923118,0
578,1.898994236,0
596,1.89727605,0
614,1.895738888,0
632,1.894358103,0
650,1.893113091,0
668,1.891986526,0
686,1.890963756,0
704,1.890032325,0
722,1.889181592,0
740,1.888402424,0
758,1.887686944,0
776,1.887028333,0
794,1.886420665,0
812,1.885858766,0
830,1.885338107,0
848,1.884854707,0
866,1.884405057,0
884,1.883986052,0
902,1.88359494,0
920,1.883229271,0
938,1.882886861,0
956,1.882565757,0
974,1.882264207,0
992,1.881980636,0
1010,1.881713628,0
1028,1.881461902,0
1046,1.881224302,0
1064,1.880999777,0
1082,1.880787376,0
1100,1.88058623,0
1118,1.880395551,0
1136,1.880214615,0
1154,1.880042763,0
1172,1.879879391,0
1190,1.879723943,0
1208,1.87957591,0
1226,1.879434823,0
1244,1.879300248,0
1262,1.879171789,0
1280,1.879049075,0
1298,1.878931765,0
1316,1.878819544,0
1334,1.878712119,0
1352,1.878609218,0
1370,1.878510587,0
1388,1.878415991,0
1406,1.878325212,0
1424,1.878238044,0
1442,1.878154297,0
1460,1.878073792,0
1478,1.877996364,0
1496,1.877921855,0
1514,1.877850119,0
1532,1.87778102,0
1550,1.877714429,0
1568,1.877650224,0
1586,1.877588292,0
1604,1.877528527,0
1622,1.877470827,0
1640,1.877415097,0
1658,1.877361249,0
1676,1.877309198,0
1694,1.877258864,0
1712,1.877210171,0
1730,1.87716305,0
1748,1.877117432,0
1766,1.877073253,0
1784,1.877030454,0
1802,1.876988977,0
1820,1.876948768,0
1838,1.876909775,0
1856,1.87687195,0
1874,1.876835245,0
1892,1.876799618,0
1910,1.876765025,0
1928,1.876731427,0
1946,1.876698786,0
1964,1.876667065,0
1982,1.876636231,0
2000,1.87660625,0
