wl,n,k
300,1.63,2.11
355,1.63,2.11
365,1.62,2.17
376,1.61,2.23
388,1.61,2.3
401,1.61,2.36
414,1.61,2.44
428,1.62,2.52
444,1.63,2.61
460,1.64,2.71
478,1.65,2.81
497,1.67,2.93
518,1.71,3.06
540,1.75,3.19
565,1.8,3.33
592,1.85,3.48
621,1.92,3.65
654,2.02,3.82
690,2.14,4.01
731,2.28,4.18
776,2.43,4.31
828,2.53,4.47
887,2.65,4.63
956,2.74,4.85
1040,2.85,5.1
1130,2.97,5.38
1240,3.06,5.74
1380,3.18,6.23
1550,3.38,6.82
1770,3.59,7.48
2070,3.84,8.35
2480,4.03,9.64
3110,3.84,11.4
3550,4.03,13.1
4140,4.19,15.1
4970,4.25,17.7
6210,4.12,22.5
8280,5.45,30.6
12400,9.54,45.8
