wl,n,k
300,2.809982,0.592784
301,2.813419,0.57775
302,2.816447,0.562667
303,2.819065,0.54755
304,2.821271,0.532415
305,2.823066,0.517277
306,2.82445,0.502151
307,2.825424,0.487053
308,2.82599,0.471999
309,2.826151,0.457002
310,2.825911,0.44208
311,2.825273,0.427245
312,2.824241,0.412513
313,2.822823,0.397898
314,2.821022,0.383415
315,2.818847,0.369075
316,2.816303,0.354894
317,2.8134,0.340882
318,2.810145,0.327054
319,2.806546,0.313421
320,2.802613,0.299994
321,2.798357,0.286784
322,2.793785,0.273802
323,2.788909,0.261057
324,2.78374,0.24856
325,2.778289,0.236318
326,2.772566,0.224341
327,2.766583,0.212636
328,2.760352,0.201211
329,2.753886,0.190071
330,2.747194,0.179225
331,2.740291,0.168676
332,2.733188,0.158431
333,2.725897,0.148493
334,2.718431,0.138869
335,2.710803,0.12956
336,2.703024,0.12057
337,2.695107,0.111903
338,2.687065,0.10356
339,2.67891,0.095544
340,2.670654,0.087855
341,2.66231,0.080496
342,2.65389,0.073466
343,2.645406,0.066767
344,2.636872,0.060398
345,2.628298,0.054359
346,2.619697,0.04865
347,2.611082,0.043269
348,2.602464,0.038216
349,2.593856,0.033488
350,2.585271,0.029085
351,2.57672,0.025004
352,2.568217,0.021243
353,2.559774,0.0178
354,2.551405,0.014672
355,2.543123,0.011855
356,2.534941,0.009348
357,2.526875,0.007147
358,2.518941,0.005249
359,2.511155,0.00365
360,2.503537,0.002345
361,2.496109,0.001333
362,2.488899,0.000607
363,2.481942,0.000165
364,2.475302,0.000001
365,2.469105,0
366,2.463245,0
367,2.457644,0
368,2.452265,0
369,2.447081,0
370,2.442075,0
371,2.43723,0
372,2.432534,0
373,2.427977,0
374,2.423549,0
375,2.419242,0
376,2.415049,0
377,2.410964,0
378,2.406981,0
379,2.403094,0
380,2.3993,0
381,2.395594,0
382,2.391972,0
383,2.38843,0
384,2.384965,0
385,2.381574,0
386,2.378253,0
387,2.375001,0
388,2.371814,0
389,2.36869,0
390,2.365628,0
391,2.362623,0
392,2.359676,0
393,2.356783,0
394,2.353943,0
395,2.351155,0
396,2.348416,0
397,2.345725,0
398,2.343081,0
399,2.340482,0
400,2.337928,0
401,2.335415,0
402,2.332945,0
403,2.330514,0
404,2.328123,0
405,2.32577,0
406,2.323454,0
407,2.321174,0
408,2.318929,0
409,2.316718,0
410,2.314541,0
411,2.312397,0
412,2.310284,0
413,2.308202,0
414,2.30615,0
415,2.304128,0
416,2.302135,0
417,2.30017,0
418,2.298232,0
419,2.296322,0
420,2.294437,0
421,2.292579,0
422,2.290745,0
423,2.288936,0
424,2.287151,0
425,2.28539,0
426,2.283652,0
427,2.281936,0
428,2.280242,0
429,2.27857,0
430,2.276919,0
431,2.27529,0
432,2.27368,0
433,2.27209,0
434,2.27052,0
435,2.268969,0
436,2.267437,0
437,2.265924,0
438,2.264428,0
439,2.262951,0
440,2.261491,0
441,2.260048,0
442,2.258621,0
443,2.257212,0
444,2.255818,0
445,2.254441,0
446,2.253079,0
447,2.251733,0
448,2.250401,0
449,2.249085,0
450,2.247783,0
451,2.246495,0
452,2.245222,0
453,2.243962,0
454,2.242716,0
455,2.241484,0
456,2.240264,0
457,2.239058,0
458,2.237864,0
459,2.236683,0
460,2.235515,0
461,2.234358,0
462,2.233213,0
463,2.23208,0
464,2.230959,0
465,2.22985,0
466,2.228751,0
467,2.227664,0
468,2.226587,0
469,2.225521,0
470,2.224466,0
471,2.223421,0
472,2.222386,0
473,2.221362,0
474,2.220347,0
475,2.219342,0
476,2.218348,0
477,2.217362,0
478,2.216386,0
479,2.215419,0
480,2.214461,0
481,2.213512,0
482,2.212573,0
483,2.211642,0
484,2.210719,0
485,2.209805,0
486,2.2089,0
487,2.208002,0
488,2.207113,0
489,2.206232,0
490,2.205359,0
491,2.204494,0
492,2.203636,0
493,2.202787,0
494,2.201944,0
495,2.201109,0
496,2.200282,0
497,2.199461,0
498,2.198648,0
499,2.197842,0
500,2.197043,0
501,2.196251,0
502,2.195466,0
503,2.194687,0
504,2.193915,0
505,2.193149,0
506,2.19239,0
507,2.191637,0
508,2.190891,0
509,2.190151,0
510,2.189417,0
511,2.188689,0
512,2.187967,0
513,2.187251,0
514,2.18654,0
515,2.185836,0
516,2.185137,0
517,2.184444,0
518,2.183757,0
519,2.183075,0
520,2.182399,0
521,2.181727,0
522,2.181062,0
523,2.180401,0
524,2.179746,0
525,2.179096,0
526,2.178451,0
527,2.177811,0
528,2.177176,0
529,2.176546,0
530,2.17592,0
531,2.1753,0
532,2.174684,0
533,2.174073,0
534,2.173467,0
535,2.172865,0
536,2.172268,0
537,2.171675,0
538,2.171087,0
539,2.170503,0
540,2.169924,0
541,2.169348,0
542,2.168777,0
543,2.168211,0
544,2.167648,0
545,2.16709,0
546,2.166535,0
547,2.165985,0
548,2.165439,0
549,2.164896,0
550,2.164358,0
551,2.163823,0
552,2.163293,0
553,2.162766,0
554,2.162242,0
555,2.161723,0
556,2.161207,0
557,2.160695,0
558,2.160187,0
559,2.159682,0
560,2.15918,0
561,2.158682,0
562,2.158188,0
563,2.157697,0
564,2.157209,0
565,2.156725,0
566,2.156244,0
567,2.155766,0
568,2.155292,0
569,2.154821,0
570,2.154353,0
571,2.153888,0
572,2.153426,0
573,2.152968,0
574,2.152512,0
575,2.15206,0
576,2.15161,0
577,2.151164,0
578,2.150721,0
579,2.15028,0
580,2.149843,0
581,2.149408,0
582,2.148976,0
583,2.148547,0
584,2.148121,0
585,2.147697,0
586,2.147276,0
587,2.146858,0
588,2.146443,0
589,2.14603,0
590,2.145621,0
591,2.145213,0
592,2.144809,0
593,2.144406,0
594,2.144007,0
595,2.14361,0
596,2.143215,0
597,2.142823,0
598,2.142433,0
599,2.142046,0
600,2.141661,0
601,2.141279,0
602,2.140899,0
603,2.140521,0
604,2.140146,0
605,2.139773,0
606,2.139402,0
607,2.139034,0
608,2.138668,0
609,2.138304,0
610,2.137942,0
611,2.137583,0
612,2.137226,0
613,2.13687,0
614,2.136517,0
615,2.136167,0
616,2.135818,0
617,2.135471,0
618,2.135126,0
619,2.134784,0
620,2.134443,0
621,2.134105,0
622,2.133768,0
623,2.133434,0
624,2.133101,0
625,2.132771,0
626,2.132442,0
627,2.132115,0
628,2.13179,0
629,2.131468,0
630,2.131146,0
631,2.130827,0
632,2.13051,0
633,2.130194,0
634,2.129881,0
635,2.129569,0
636,2.129259,0
637,2.12895,0
638,2.128644,0
639,2.128339,0
640,2.128036,0
641,2.127734,0
642,2.127434,0
643,2.127136,0
644,2.12684,0
645,2.126545,0
646,2.126252,0
647,2.125961,0
648,2.125671,0
649,2.125383,0
650,2.125097,0
651,2.124811,0
652,2.124528,0
653,2.124246,0
654,2.123966,0
655,2.123687,0
656,2.12341,0
657,2.123134,0
658,2.12286,0
659,2.122587,0
660,2.122316,0
661,2.122046,0
662,2.121778,0
663,2.121511,0
664,2.121245,0
665,2.120981,0
666,2.120719,0
667,2.120458,0
668,2.120198,0
669,2.119939,0
670,2.119682,0
